Categories,CategoryFrequency
"Männlich, Beziehung",185
"Weiblich, Beziehung",176
"Adel, Beziehung",123
"Adel, Weiblich",105
"Orte, Beziehung",82
"Adel, Männlich",72
"Adel, Verschiedenes",67
"Weiblich, Orte",65
"Adel, Körperteil",61
"Adel, Orte",61
"Adel, Gewerbebezeichnung",59
"Beziehung, Verschiedenes",54
"Beziehung, Körperteil",53
"Weiblich, Körperteil",41
"Männlich, Orte",41
"Tier, Männlich",39
"Gewerbebezeichnung, Beziehung",37
"Männlich, Gewerbebezeichnung",36
"Weiblich, Verschiedenes",35
"Orte, Körperteil",34
"Orte, Verschiedenes",33
"Männlich, Weiblich",33
"Männlich, Wertgegenstände",32
"Männlich, Verschiedenes",32
"Wertgegenstände, Beziehung",31
"Adel, Eigenname",31
"Männlich, Körperteil",30
"Adel, Wertgegenstände",28
"Tier, Körperteil",25
"Körperteil, Verschiedenes",23
"Weiblich, Eigenname",21
"Tier, Orte",21
"Weiblich, Gewerbebezeichnung",21
"Weiblich, Wertgegenstände",20
"Gewerbebezeichnung, Körperteil",19
"Fabelwesen, Männlich",18
"Adel, Tier",16
"Fabelwesen, Weiblich",16
"Orte, Nahrung",16
"Wertgegenstände, Orte",15
"Fabelwesen, Orte",15
"Fabelwesen, Beziehung",14
"Wertgegenstände, Körperteil",14
"Tier, Weiblich",14
"Gewerbebezeichnung, Orte",14
"Weiblich, Nahrung",13
"Eigenname, Körperteil",12
"Eigenname, Beziehung",12
"Gewerbebezeichnung, Verschiedenes",12
"Eigenname, Verschiedenes",11
"Tier, Verschiedenes",11
"Tier, Beziehung",11
"Männlich, Nahrung",10
"Adel, Nahrung",10
"Tier, Gewerbebezeichnung",10
"Fabelwesen, Körperteil",9
"Orte, Eigenname",9
"Beziehung, Nahrung",9
"Gewerbebezeichnung, Wertgegenstände",9
"Wertgegenstände, Verschiedenes",8
"Fabelwesen, Wertgegenstände",7
"Adel, Fabelwesen",6
"Gewerbebezeichnung, Eigenname",6
"Nahrung, Körperteil",6
"Nahrung, Verschiedenes",6
"Wertgegenstände, Nahrung",5
"Fabelwesen, Verschiedenes",4
"Tier, Eigenname",4
"Wertgegenstände, Eigenname",4
"Gewerbebezeichnung, Nahrung",4
"Tier, Nahrung",4
"Männlich, Eigenname",3
"Eigenname, Nahrung",3
"Fabelwesen, Gewerbebezeichnung",3
"Tier, Fabelwesen",2
"Fabelwesen, Eigenname",1