Categories,TaleDistributionFrequency
"Weiblich, Beziehung",48
"Adel, Beziehung",35
"Adel, Weiblich",32
"Orte, Beziehung",32
"Weiblich, Orte",28
"Beziehung, Körperteil",27
"Männlich, Beziehung",27
"Beziehung, Verschiedenes",26
"Adel, Orte",26
"Adel, Körperteil",24
"Adel, Verschiedenes",24
"Männlich, Orte",24
"Männlich, Verschiedenes",24
"Weiblich, Körperteil",23
"Orte, Verschiedenes",23
"Orte, Körperteil",21
"Adel, Männlich",21
"Weiblich, Verschiedenes",19
"Männlich, Weiblich",18
"Männlich, Körperteil",17
"Körperteil, Verschiedenes",16
"Wertgegenstände, Orte",15
"Adel, Gewerbebezeichnung",14
"Männlich, Gewerbebezeichnung",14
"Gewerbebezeichnung, Beziehung",14
"Adel, Wertgegenstände",13
"Gewerbebezeichnung, Körperteil",13
"Tier, Männlich",13
"Weiblich, Gewerbebezeichnung",13
"Wertgegenstände, Körperteil",11
"Weiblich, Wertgegenstände",11
"Männlich, Wertgegenstände",11
"Gewerbebezeichnung, Orte",11
"Wertgegenstände, Beziehung",10
"Tier, Körperteil",10
"Fabelwesen, Weiblich",10
"Fabelwesen, Beziehung",9
"Weiblich, Nahrung",9
"Fabelwesen, Orte",8
"Fabelwesen, Körperteil",8
"Tier, Verschiedenes",8
"Tier, Orte",8
"Orte, Nahrung",8
"Eigenname, Beziehung",7
"Tier, Weiblich",7
"Gewerbebezeichnung, Verschiedenes",7
"Gewerbebezeichnung, Wertgegenstände",7
"Männlich, Nahrung",6
"Wertgegenstände, Verschiedenes",6
"Tier, Beziehung",6
"Beziehung, Nahrung",6
"Adel, Fabelwesen",5
"Orte, Eigenname",5
"Weiblich, Eigenname",5
"Fabelwesen, Verschiedenes",4
"Eigenname, Verschiedenes",4
"Eigenname, Körperteil",4
"Adel, Tier",4
"Wertgegenstände, Nahrung",4
"Nahrung, Körperteil",4
"Adel, Nahrung",4
"Fabelwesen, Wertgegenstände",4
"Nahrung, Verschiedenes",4
"Tier, Gewerbebezeichnung",4
"Fabelwesen, Männlich",4
"Adel, Eigenname",3
"Gewerbebezeichnung, Eigenname",3
"Eigenname, Nahrung",3
"Wertgegenstände, Eigenname",3
"Tier, Nahrung",3
"Tier, Eigenname",2
"Fabelwesen, Gewerbebezeichnung",2
"Tier, Fabelwesen",2
"Gewerbebezeichnung, Nahrung",2
"Männlich, Eigenname",1
"Fabelwesen, Eigenname",1