Tale,Characters,TaleOccurrenceFrequency,RelationFrequency
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Brunnen",4,4
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Brunnen",4,4
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Frosch",4,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Frosch",4,7
1. Der Froschkönig oder der eiserne Heinrich .,"König, Frosch",3,5
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Wagen",3,3
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Herz",3,3
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Kugel",3,3
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Herr",3,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Herr",2,3
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Herr",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Brunnen",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Frosch",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Brunnen",2,4
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, König",2,4
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Wagen",2,3
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Frosch",2,3
1. Der Froschkönig oder der eiserne Heinrich .,"König, Tag",2,27
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Königssohn",2,3
1. Der Froschkönig oder der eiserne Heinrich .,"König, Brunnen",2,3
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, König",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"König, Wagen",2,7
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Königstochter",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, König",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Königstochter",2,5
1. Der Froschkönig oder der eiserne Heinrich .,"Geselle, Frosch",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Kopf",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, Frosch",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Herz",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Herr",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Königstochter",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Kugel",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Geselle",2,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, König",2,22
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Reich",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Zeit, Gesicht",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, Türe",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Diener, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Türe",1,17
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Herz",1,7
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kind",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Diener",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Kugel",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stein, Kopf",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"König, Gesicht",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Tag",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Herr",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Reich",1,18
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Kopf",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, König",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Königssohn",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Kind",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Bett",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"König, Fuß",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Vater",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Pferd",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Kleid",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königssohn, Herr",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Zeit",1,19
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Herz",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Tisch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Stein",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Pferd",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Wald",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Brunnen",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Kopf",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Geselle, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Königssohn",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Mensch",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Tag",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Zeit, Tochter",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Herz",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Königssohn, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Finger, König",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Wagen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, Tisch",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Kind",1,20
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, König",1,19
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Tür",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Ecke",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Brunnen",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Perle, Kleid",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Geselle, Kugel",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Stein",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Herz",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, Fuß",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Haus",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Reich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stimme, Stein",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, König",1,20
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Perle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Königssohn, Auge",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Tag",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Herr",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Wand",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Erde, Königstochter",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Stück, Königssohn",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Fuß",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Tag",1,17
1. Der Froschkönig oder der eiserne Heinrich .,"Hexe, Reich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Kind",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Kleid",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Perle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wand, Bett",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Türe",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Erde, Kugel",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Herz",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Tisch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Haus",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"König, Tochter",1,52
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Auge",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Kind",1,27
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Erde",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, König",1,17
1. Der Froschkönig oder der eiserne Heinrich .,"Stuhl, König",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Kleid",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Herz, Kind",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Tür",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Herr",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kind, Brunnen",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Stück",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Tochter, Gesicht",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Tag",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Geselle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Pferd",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Tür",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Königstochter, Stimme",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Stimme",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Diener",1,4
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Riese",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Freude, Königstochter",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Stimme",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Stimme, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Bett",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Herz",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Kind",1,5
1. Der Froschkönig oder der eiserne Heinrich .,"Brunnen, Riese",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Diener",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Tür, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wagen, Kopf",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"'nein, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Kopf",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Reich, Brunnen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Kind",1,27
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Auge",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wald, Frosch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Perle",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Heinrich, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"König, Diener",1,15
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Königssohn",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Herz",1,7
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Stein",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"König, Kopf",1,12
1. Der Froschkönig oder der eiserne Heinrich .,"Türe, Fuß",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Herz",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Wand, Frosch",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Kugel, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Mensch",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Finger, Ecke",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Weg, Heinrich",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Diener",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Wald",1,11
1. Der Froschkönig oder der eiserne Heinrich .,"Vater, Brunnen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Hexe, Brunnen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Morgen, Kopf",1,3
1. Der Froschkönig oder der eiserne Heinrich .,"Pferd, Wagen",1,6
1. Der Froschkönig oder der eiserne Heinrich .,"Frosch, Wagen",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Wasser, Tür",1,1
1. Der Froschkönig oder der eiserne Heinrich .,"Reich, Wagen",1,2
1. Der Froschkönig oder der eiserne Heinrich .,"Kind, Riese",1,1